epoch,kl_weight,lr,kl_loss,recon_loss,loss,mode
0,0.0001,0.0002926829491861255,42.133649063110354,0.8129620313644409,0.8171754032373428,Train
0,0.0001,0.0,42.45486888885498,0.8100827604532241,0.8143282473087311,Eval
1,0.00019,0.00027144804065905466,32.93493309020996,0.7335999429225921,0.7398575842380524,Train
1,0.00019,0.0,34.05548276901245,0.7321647852659225,0.7386353313922882,Eval
2,0.00028,0.00023837389521772474,27.334234714508057,0.7014515161514282,0.7091050952672958,Train
2,0.00028,0.0,27.234416961669922,0.7014842092990875,0.7091098457574845,Eval
3,0.00037,0.00019669804065905463,24.296178150177003,0.6829037010669708,0.6918932914733886,Train
3,0.00037,0.0,23.735640907287596,0.6824725776910782,0.6912547677755356,Eval
4,0.00046,0.0001505,21.05951347351074,0.6699775815010071,0.679664957523346,Train
4,0.00046,0.0,21.338350296020508,0.671159315109253,0.680974954366684,Eval
5,0.00055,0.00010430195934094538,18.99952850341797,0.6649511814117431,0.6754009187221527,Train
5,0.00055,0.0,19.014258861541748,0.6655289500951767,0.6759867966175079,Eval
6,0.00064,6.262610478227528e-05,17.788338470458985,0.6613783121109009,0.6727628499269486,Train
6,0.00064,0.0,17.382649612426757,0.6604873389005661,0.67161223590374,Eval
7,0.0007300000000000001,2.9551959340945373e-05,16.278771448135377,0.6554099559783936,0.6672934621572495,Train
7,0.0007300000000000001,0.0,16.42026948928833,0.6586734056472778,0.6706601977348328,Eval
8,0.0008200000000000001,8.317050813874547e-06,15.586298990249634,0.6588119715452194,0.6715927422046661,Train
8,0.0008200000000000001,0.0,15.512778806686402,0.658318254351616,0.6710387378931045,Eval
9,0.0009100000000000001,1e-06,14.847975921630859,0.6583083808422089,0.6718200355768204,Train
9,0.0009100000000000001,0.0,14.870664691925048,0.6586776882410049,0.6722099930047989,Eval
10,0.001,0.0002926829491861255,12.392469692230225,0.6531951606273652,0.6655876219272614,Train
10,0.001,0.0,12.01417384147644,0.6544970780611038,0.6665112525224686,Eval
11,0.001,0.00027144804065905466,12.492625665664672,0.6482800006866455,0.6607726246118546,Train
11,0.001,0.0,11.976571846008301,0.6455986499786377,0.6575752198696136,Eval
12,0.001,0.00023837389521772474,12.912046861648559,0.6347176134586334,0.6476296603679657,Train
12,0.001,0.0,12.441126537322997,0.6362991124391556,0.6487402468919754,Eval
13,0.001,0.00019669804065905463,13.111453771591187,0.6300307244062424,0.643142181634903,Train
13,0.001,0.0,13.492255878448486,0.6267444908618927,0.6402367502450943,Eval
14,0.001,0.0001505,13.457286882400513,0.6209819197654725,0.6344392031431199,Train
14,0.001,0.0,13.572366619110108,0.622957518696785,0.6365298837423324,Eval
15,0.001,0.00010430195934094538,13.764324188232422,0.6179885923862457,0.6317529201507568,Train
15,0.001,0.0,13.45691614151001,0.6177587807178497,0.6312156945466996,Eval
16,0.001,6.262610478227528e-05,13.81452431678772,0.6129847973585129,0.6267993152141571,Train
16,0.001,0.0,13.752562093734742,0.6151427268981934,0.6288952946662902,Eval
17,0.001,2.9551959340945373e-05,14.289337205886842,0.612370440363884,0.626659768819809,Train
17,0.001,0.0,14.127126979827882,0.6131274968385696,0.6272546231746674,Eval
18,0.001,8.317050813874547e-06,13.990534019470214,0.6106118351221085,0.6246023714542389,Train
18,0.001,0.0,13.968628358840942,0.6126842647790909,0.6266528874635696,Eval
19,0.001,1e-06,14.222149753570557,0.6105173766613007,0.6247395306825638,Train
19,0.001,0.0,14.103901147842407,0.6119913399219513,0.6260952442884445,Eval
20,0.001,0.0002926829491861255,14.339715194702148,0.610114112496376,0.6244538277387619,Train
20,0.001,0.0,13.94955940246582,0.6125003159046173,0.6264498800039291,Eval
21,0.001,0.00027144804065905466,15.479948616027832,0.6008600145578384,0.6163399696350098,Train
21,0.001,0.0,15.05709137916565,0.6052384704351426,0.6202955633401871,Eval
22,0.001,0.00023837389521772474,15.848763036727906,0.6005185455083847,0.6163673132658005,Train
22,0.001,0.0,15.31773099899292,0.6000874847173691,0.6154052168130875,Eval
23,0.001,0.00019669804065905463,16.260444164276123,0.5954116880893707,0.6116721332073212,Train
23,0.001,0.0,16.094377565383912,0.5949660062789917,0.6110603839159012,Eval
24,0.001,0.0001505,16.009009265899657,0.5912097781896591,0.607218787074089,Train
24,0.001,0.0,16.052514028549194,0.5908286362886429,0.6068811535835266,Eval
25,0.001,0.00010430195934094538,16.231089925765993,0.5853970378637314,0.6016281306743622,Train
25,0.001,0.0,15.99696855545044,0.5885741680860519,0.6045711398124695,Eval
26,0.001,6.262610478227528e-05,16.87265510559082,0.5822850346565247,0.5991576880216598,Train
26,0.001,0.0,16.77217540740967,0.5851352274417877,0.6019074022769928,Eval
27,0.001,2.9551959340945373e-05,16.89048833847046,0.580632570385933,0.5975230634212494,Train
27,0.001,0.0,16.696216583251953,0.5835678458213807,0.6002640694379806,Eval
28,0.001,8.317050813874547e-06,17.06626977920532,0.5806875735521316,0.5977538406848908,Train
28,0.001,0.0,17.07650547027588,0.5824994087219239,0.5995759159326554,Eval
29,0.001,1e-06,17.057166862487794,0.57830770611763,0.5953648686408997,Train
29,0.001,0.0,17.070217990875243,0.5828916490077972,0.5999618709087372,Eval
30,0.001,0.0002926829491861255,16.56902871131897,0.5849557548761368,0.6015247851610184,Train
30,0.001,0.0,16.477947235107422,0.5870791137218475,0.6035570591688156,Eval
31,0.001,0.00027144804065905466,16.688107299804688,0.5797361493110657,0.5964242607355118,Train
31,0.001,0.0,16.548562908172606,0.5825924634933471,0.5991410255432129,Eval
